,Survived,Pclass,Sex,Age,Fare,family
0,0,3,1,22.0,7.25,2
1,1,1,0,38.0,71.2833,2
2,1,3,0,26.0,7.925,1
3,1,1,0,35.0,53.1,2
4,0,3,1,35.0,8.05,1
5,0,3,1,28.0,8.4583,1
6,0,1,1,54.0,51.8625,1
7,0,3,1,2.0,21.075,5
8,1,3,0,27.0,11.1333,3
9,1,2,0,14.0,30.0708,2
10,1,3,0,4.0,16.7,3
11,1,1,0,58.0,26.55,1
12,0,3,1,20.0,8.05,1
13,0,3,1,39.0,31.275,7
14,0,3,0,14.0,7.8542,1
15,1,2,0,55.0,16.0,1
16,0,3,1,2.0,29.125,6
17,1,2,1,28.0,13.0,1
18,0,3,0,31.0,18.0,2
19,1,3,0,28.0,7.225,1
20,0,2,1,35.0,26.0,1
21,1,2,1,34.0,13.0,1
22,1,3,0,15.0,8.0292,1
23,1,1,1,28.0,35.5,1
24,0,3,0,8.0,21.075,5
25,1,3,0,38.0,31.3875,7
26,0,3,1,28.0,7.225,1
27,0,1,1,19.0,263.0,6
28,1,3,0,28.0,7.8792,1
29,0,3,1,28.0,7.8958,1
30,0,1,1,40.0,27.7208,1
31,1,1,0,28.0,146.5208,2
32,1,3,0,28.0,7.75,1
33,0,2,1,66.0,10.5,1
34,0,1,1,28.0,82.1708,2
35,0,1,1,42.0,52.0,2
36,1,3,1,28.0,7.2292,1
37,0,3,1,21.0,8.05,1
38,0,3,0,18.0,18.0,3
39,1,3,0,14.0,11.2417,2
40,0,3,0,40.0,9.475,2
41,0,2,0,27.0,21.0,2
42,0,3,1,28.0,7.8958,1
43,1,2,0,3.0,41.5792,4
44,1,3,0,19.0,7.8792,1
45,0,3,1,28.0,8.05,1
46,0,3,1,28.0,15.5,2
47,1,3,0,28.0,7.75,1
48,0,3,1,28.0,21.6792,3
49,0,3,0,18.0,17.8,2
50,0,3,1,7.0,39.6875,6
51,0,3,1,21.0,7.8,1
52,1,1,0,49.0,76.7292,2
53,1,2,0,29.0,26.0,2
54,0,1,1,65.0,61.9792,2
55,1,1,1,28.0,35.5,1
56,1,2,0,21.0,10.5,1
57,0,3,1,28.5,7.2292,1
58,1,2,0,5.0,27.75,4
59,0,3,1,11.0,46.9,8
60,0,3,1,22.0,7.2292,1
61,1,1,0,38.0,80.0,1
62,0,1,1,45.0,83.475,2
63,0,3,1,4.0,27.9,6
64,0,1,1,28.0,27.7208,1
65,1,3,1,28.0,15.2458,3
66,1,2,0,29.0,10.5,1
67,0,3,1,19.0,8.1583,1
68,1,3,0,17.0,7.925,7
69,0,3,1,26.0,8.6625,3
70,0,2,1,32.0,10.5,1
71,0,3,0,16.0,46.9,8
72,0,2,1,21.0,73.5,1
73,0,3,1,26.0,14.4542,2
74,1,3,1,32.0,56.4958,1
75,0,3,1,25.0,7.65,1
76,0,3,1,28.0,7.8958,1
77,0,3,1,28.0,8.05,1
78,1,2,1,0.83,29.0,3
79,1,3,0,30.0,12.475,1
80,0,3,1,22.0,9.0,1
81,1,3,1,29.0,9.5,1
82,1,3,0,28.0,7.7875,1
83,0,1,1,28.0,47.1,1
84,1,2,0,17.0,10.5,1
85,1,3,0,33.0,15.85,4
